exercise_name,base_movement,muscle_group,equipment,tracking_type
Back Extension (Machine),Back Extension,Lower Back,Machine,weight_reps
Back Extension (Weighted Hyperextension),Back Extension,Lower Back,Weighted,weight_reps
Bench Press (Barbell),Bench Press,Chest,Barbell,weight_reps
Bench Press (Dumbbell),Bench Press,Chest,Dumbbell,weight_reps
Bent Over Row (Barbell),Bent Over Row,Back,Barbell,weight_reps
Bicep Curl (Barbell),Bicep Curl,Biceps,Barbell,weight_reps
Bicep Curl (Cable),Bicep Curl,Biceps,Cable,weight_reps
Bicep Curl (Dumbbell),Bicep Curl,Biceps,Dumbbell,weight_reps
Bicep Curl (Machine),Bicep Curl,Biceps,Machine,weight_reps
Bird Dog,Bird Dog,Core,Bodyweight,weight_reps
Box Squat (Barbell),Box Squat,Legs,Barbell,weight_reps
Bulgarian Split Squat,Bulgarian Split Squat,Legs,Bodyweight,weight_reps
Butterfly (Pec Deck),Butterfly,Chest,Pec Deck,weight_reps
Cable Crunch,Cable Crunch,Core,Bodyweight,weight_reps
Cable Fly Crossovers,Cable Fly Crossovers,Chest,Bodyweight,weight_reps
Cable Pull Through,Cable Pull Through,Glutes,Bodyweight,weight_reps
Cable Twist (Down to up),Cable Twist,Core,Cable,weight_reps
Cable Twist (Up to down),Cable Twist,Core,Cable,weight_reps
Chest Fly (Machine),Chest Fly,Chest,Machine,weight_reps
Chest Press (Machine),Chest Press,Chest,Machine,weight_reps
Chin Up,Chin Up,Back,Bodyweight,weight_reps
Chin Up (Assisted),Chin Up,Back,Assisted,weight_reps
Clean and Jerk,Clean and Jerk,Full Body,Bodyweight,weight_reps
Clean and Press,Clean and Press,Full Body,Bodyweight,weight_reps
Concentration Curl,Concentration Curl,Biceps,Bodyweight,weight_reps
Crunch,Crunch,Core,Bodyweight,weight_reps
Crunch (Machine),Crunch,Core,Machine,weight_reps
Deadlift (Barbell),Deadlift,Back,Barbell,weight_reps
Deadlift (Trap Bar),Deadlift,Back,Trap Bar,weight_reps
Decline Crunch,Decline Crunch,Core,Bodyweight,weight_reps
Dumbbell Row,Dumbbell Row,Back,Bodyweight,weight_reps
Face Pull,Face Pull,Shoulders,Bodyweight,weight_reps
Front Raise (Cable),Front Raise,Shoulders,Cable,weight_reps
Front Squat,Front Squat,Legs,Bodyweight,weight_reps
Good Morning (Barbell),Good Morning,Lower Back,Barbell,weight_reps
Hack Squat (Machine),Hack Squat,Legs,Machine,weight_reps
Hammer Curl (Cable),Hammer Curl,Biceps,Cable,weight_reps
Hammer Curl (Dumbbell),Hammer Curl,Biceps,Dumbbell,weight_reps
Hanging Leg Raise,Hanging Leg Raise,Core,Bodyweight,weight_reps
Incline Bench Press (Barbell),Incline Bench Press,Chest,Barbell,weight_reps
Incline Bench Press (Dumbbell),Incline Bench Press,Chest,Dumbbell,weight_reps
Iso-Lateral Row (Machine),Iso-Lateral Row,Back,Machine,weight_reps
Kettlebell Clean,Kettlebell Clean,Full Body,Kettlebell,weight_reps
Kettlebell Goblet Squat,Kettlebell Goblet Squat,Legs,Kettlebell,weight_reps
Kettlebell Snatch,Kettlebell Snatch,Full Body,Kettlebell,weight_reps
Lat Pulldown (Cable),Lat Pulldown,Back,Cable,weight_reps
Lat Pulldown (Machine),Lat Pulldown,Back,Machine,weight_reps
