"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Leg Press Horizontal (Machine)",,"",0,"normal",100,20,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Power Snatch",,"",0,"normal",20,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Power Snatch",,"",1,"normal",30,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Power Snatch",,"",2,"normal",35,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Power Snatch",,"",3,"normal",40,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Sumo Deadlift",,"",0,"normal",70,8,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Sumo Deadlift",,"",1,"normal",90,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Sumo Deadlift",,"",2,"normal",100,1,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Lat Pulldown (Cable)",,"",0,"normal",59,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Lat Pulldown (Cable)",,"",1,"normal",66,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Lat Pulldown (Cable)",,"",2,"normal",73,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Chin Up",,"",0,"normal",,5,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Chin Up",,"",1,"normal",,4,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Chin Up",,"",2,"normal",,4,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bench Press (Barbell)",,"",0,"normal",60,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bench Press (Barbell)",,"",1,"normal",80,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bench Press (Barbell)",,"",2,"normal",100,6,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bench Press (Barbell)",,"",3,"normal",100,4,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Triceps Pushdown",,"",0,"normal",27,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Triceps Pushdown",,"",1,"normal",27,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Triceps Pushdown",,"",2,"normal",29,10,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bicep Curl (Cable)",,"",0,"normal",23,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bicep Curl (Cable)",,"",1,"normal",23,11,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Bicep Curl (Cable)",,"",2,"normal",23,7,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Back Extension (Weighted Hyperextension)",,"",0,"normal",,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Back Extension (Weighted Hyperextension)",,"",2,"normal",,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Leg Raise Parallel Bars",,"",0,"normal",,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Leg Raise Parallel Bars",,"",1,"normal",,15,,,
"Afternoon workout 💪","16 Jun 2026, 14:37","16 Jun 2026, 15:56","","Leg Raise Parallel Bars",,"",2,"normal",,15,,,
